target,data_sensitivity,retention_years,remediation_cost
PSB-PNB,PII+loan_files,5,M
PSB-Canara,PII+loan_files,5,M
PSB-Union,PII+loan_files,5,M
PSB-IndianBank,PII+loan_files,5,M
PSB-BoI,PII+loan_files,5,M
PSB-IOB,PII+loan_files,5,M
PVB-HDFC,PII+loan_files,5,M
PVB-ICICI,PII+loan_files,5,M
PVB-Axis,PII+loan_files,5,M
PVB-Kotak,PII+loan_files,5,M
PVB-IndusInd,PII+loan_files,5,M
PVB-YesBank,PII+loan_files,5,M
PVB-IDFC,PII+loan_files,5,M
PVB-Federal,PII+loan_files,5,M
PVB-RBL,PII+loan_files,5,M
PVB-SouthIndian,PII+loan_files,5,M
PVB-Karnataka,PII+loan_files,5,M
PVB-DCB,PII+loan_files,5,M
SFB-AU,PII+loan_files,5,H
SFB-Equitas,PII+loan_files,5,H
SFB-Jana,PII+loan_files,5,H
PB-Airtel,payment_txn,5,H
PB-IPPB,payment_txn,5,H
PSP-Razorpay,payment_txn,5,M
PSP-Paytm,payment_txn,5,M
PSP-PhonePe,payment_txn,5,M
PSP-Cashfree,payment_txn,5,M
PSP-Instamojo,payment_txn,5,M
PSP-PayU,payment_txn,5,M
PSP-NPCI,payment_txn,5,M
BRK-Zerodha,securities_records,5,M
BRK-Groww,securities_records,5,M
BRK-Upstox,securities_records,5,M
BRK-AngelOne,securities_records,5,M
BRK-ICICIDirect,securities_records,5,M
BRK-HDFCSec,securities_records,5,M
DEP-CDSL,securities_records,5,M
EXC-NSE,securities_records,5,L
EXC-BSE,securities_records,5,L
INS-LIC,policy_records,10,H
INS-HDFCLife,policy_records,10,H
INS-ICICIPru,policy_records,10,H
INS-SBILife,policy_records,10,H
INS-MaxLife,policy_records,10,H
INS-Bajaj,policy_records,10,H
PSB-UCO,PII+loan_files,5,M
PVB-Bandhan,PII+loan_files,5,M
PVB-CityUnion,PII+loan_files,5,M
SFB-Ujjivan,PII+loan_files,5,H
PSP-CCAvenue,payment_txn,5,M
PSP-BillDesk,payment_txn,5,M
DEP-NSDL,securities_records,5,M
INS-TataAIG,policy_records,10,H
Razorpay-web,payment_txn,5,M
Razorpay-api,payment_txn,5,M
Paytm-web,payment_txn,5,M
Paytm-api,payment_txn,5,M
PayU-web,payment_txn,5,M
PayU-api,payment_txn,5,M
Cashfree-web,payment_txn,5,M
Cashfree-api,payment_txn,5,M
PhonePe-web,payment_txn,5,M
PhonePe-api,payment_txn,5,M
CCAvenue-web,payment_txn,5,H
CCAvenue-api,payment_txn,5,H
Instamojo-web,payment_txn,5,H
Instamojo-api,payment_txn,5,H
BillDesk-web,payment_txn,5,M
BillDesk-api,payment_txn,5,M
HDFC-web,PII+loan_files,5,M
HDFC-api,PII+loan_files,5,M
ICICI-web,PII+loan_files,5,M
Kotak-web,PII+loan_files,5,M
Kotak-api,PII+loan_files,5,M
Zerodha-web,securities_records,5,M
Zerodha-api,securities_records,5,M
Upstox-web,securities_records,5,M
Upstox-api,securities_records,5,M
Groww-web,securities_records,5,M
Groww-api,securities_records,5,M
